# Cuts applied after Offline reconstruction:
# RecSuccessRd, radiation energy reconstructed, E_Rd > 0, diff reconstructed angle of Sd and Rd < 20, alpha > 10, MC zenith < 60°, MDLDFSuccess
runnr	MC energy	MC zenith	MC azimuth	MC Xmax	MC core x	MC core y	MC core z	Sd rec success	Sd energy	SD zenith	SD azimuth	SD core x	SD core y	SD core z	Rd rec success	Stations with Pulse	Rd zenith	Rd azimuth	Rd core x	Rd core y	Rd core z	rad energy	rad energy error	lorentz angle	2dLDF sigma	2dLDF sigma error	2dLDF Chi2	2dLDf NDF	Rd energy	SE_RdLDF1	SE_RdLDF2	EE_RdLDF1	EE_RdLDF1error	EE_RdLDF2	EE_RdLDF2error	EE_RdLDF3	EE_RdLDF3error	OnedLDFChi2	EE_RdLDFNDF	pvalue1dLDF	GeoCe DXmax	GeoCeXmax	GeoCe DXmax Error	GeoCe Erad	GeoCe Erad Error	GeoCe LDFChi2	GeoCe LDF ndf	pvalue GeoCe	Md rec success	N_mu_ref	N_mu_ref error	MLDF Chi2	MLDF NDF	MLDF Likelihood	M beta	M beta error	M beta syst
100002	1.54961e+18	41.0088	303.544	641.545	449498	6.11396e+06	1468.23	1	1.15843e+18	40.799	303.827	449483	6.11397e+06	1399.94	1	6	41.5244	303.16	-27744.6	14853.5	-9.3854	2.07653e+07	4.80188e+06	89.7987	132.072	6.78502	2.25307	2	1.14711e+18	0.000433011	0.0109411	0.000433185	2.53336e-05	1.81711e-05	0	-0.00853189	0.000945703	74.4767	4	2.57097e-15	505.642	627.232	21.3102	1.74832e+07	2.49595e+06	1.18759	2	0.552228	1	2.37553	0.136603	42.6527	42	26.6301	1.10998	0.168622	0
100004	2.53599e+17	34.4273	204.927	586.647	450569	6.11499e+06	1468.11	1	2.0777e+17	33.5715	204.811	450442	6.11504e+06	1399.98	1	3	34.1924	204.872	-26719.7	15820.1	93.0944	340789	180499	73.8507	111.047	17.2121	0.639485	1	1.49788e+17	0.000102405	0.011025	0.000103222	8.59835e-06	2.08137e-05	0	-0.0113845	0.00370299	0.0943626	1	0.758703	407.444	628.966	0.136858	381955	56672.9	0.298539	1	0.5848	1	0.603343	0.0814058	11.2333	12	7.14209	1.08446	0.345136	0
100006	2.55791e+17	41.8761	291.04	556.775	449957	6.11422e+06	1468.64	1	1.49536e+17	41.4153	289.999	449994	6.11418e+06	1399.98	1	4	41.894	290.996	-27228.7	15021.5	93.4886	489143	307456	86.6474	135.37	29.4665	0.12485	2	1.73066e+17	0.000136382	0.00688404	0.000138332	9.13269e-06	1.80266e-05	0	-0.00670743	0.00233285	0.00699482	2	0.996509	451.765	696.353	83.3286	577101	103171	0.14162	2	0.931639	1	0.460631	0.0736766	9.1593	12	5.93662	1.71477	0.464491	0
100009	1.47883e+18	48.8578	163.62	651.333	450725	6.11475e+06	1466.9	1	1.20464e+18	48.5606	163.839	450769	6.11475e+06	1399.92	1	22	49.4884	163.796	-26504.1	15611.3	-7.26239	1.4827e+07	782291	58.0515	177.263	1.46343	58.6233	18	1.14675e+18	0.000338213	0.0115311	0.000348348	5.94295e-06	1.48352e-05	0	-0.00822564	9.99273e-05	865.792	20	1.48715e-170	603.97	695.373	4.60725	1.67572e+07	905166	80.7854	18	6.24253e-10	1	2.4825	0.133409	60.6577	49	38.2858	1.11564	0.120411	0
100010	7.99267e+17	47.9999	20.302	660.695	448781	6.11425e+06	1478.29	1	6.01836e+17	48.3129	20.4129	448726	6.11423e+06	1399.96	1	7	47.8807	20.4341	-28457.9	15125.1	-3.10405	3.56419e+06	908415	51.1922	177.259	14.7397	1.59819	3	6.04871e+17	0.000284378	0.00529119	0.000301922	1.75781e-05	1.55448e-05	0	-0.00447837	0.000794894	18.288	5	0.00260625	661.471	616.12	51.7797	3.50511e+06	343559	2.24234	3	0.523658	1	1.53109	0.111074	21.608	24	13.3266	0.947208	0.265867	0
100013	4.28135e+17	46.8181	329.764	626.606	450542	6.11543e+06	1468.17	1	3.33969e+17	46.9707	329.519	450547	6.11547e+06	1399.97	1	5	45.8966	329.232	-26679.6	16313.2	-8.48542	1.95477e+06	586941	82.3946	204.819	15.4399	2.98107	1	3.5061e+17	0.000105703	0.0136979	9.19736e-05	1.36151e-05	1.6396e-05	0	-0.00953934	0.000954177	59.9452	3	6.03872e-13	584.12	665.122	16.4205	1.48508e+06	230812	0.659652	1	0.416683	1	0.753817	0.0848886	9.09082	16	3.97368	0.72135	0.287986	0
100043	4.04584e+17	57.4623	204.837	642.422	451180	6.11441e+06	1462.78	1	4.26383e+17	57.4379	204.877	451260	6.1145e+06	1399.96	1	37	58.3408	204.78	-26042.9	15290.9	-8.70685	1.65906e+06	63592.3	89.6944	238.026	1.9935	21.0516	33	3.20142e+17	0.000128603	0.00718682	0.000141882	1.64392e-06	1.0635e-05	0	-0.00315908	6.73997e-05	1626.18	35	0	942.508	646.912	8.64248	1.67645e+06	48765.1	18.9863	33	0.975624	1	0.710203	0.0852412	18.4785	19	14.3136	0.238729	0.303116	0
100044	5.76882e+17	52.0915	252.634	616.069	450053	6.11514e+06	1472.83	1	4.16973e+17	51.9117	252.076	450073	6.11512e+06	1399.96	1	8	51.8536	252.289	-27179.7	15977.1	-5.08034	2.84495e+06	551619	75.4901	193.395	13.193	0.93145	4	4.34928e+17	0.000277729	0.00503639	0.000299704	1.4283e-05	1.376e-05	0	-0.00393675	0.000512903	16.2857	6	0.0122999	742.501	648.895	40.5678	2.96161e+06	251284	0.639164	4	0.958614	1	0.817683	0.0766357	37.0039	21	15.8562	1.17893	0	0
100046	6.22208e+17	43.4862	179.478	626.954	450965	6.11434e+06	1464.57	1	4.8493e+17	43.4768	178.621	450959	6.11434e+06	1399.95	1	21	44.2492	179.919	-26287.2	15212.9	-7.73017	2.7669e+06	151952	66.4952	167.575	1.83072	36.1114	17	4.54598e+17	0.000149812	0.0125329	0.000171444	3.00121e-06	1.70814e-05	0	-0.0100498	0.000114156	858.843	19	6.55046e-170	579.782	598.481	3.63453	2.69847e+06	90686.4	36.34	17	0.00413035	1	1.07267	0.086343	30.0313	29	20.9796	1.42193	0	0
100050	3.92516e+17	34.6681	300.832	642.329	449120	6.11407e+06	1474.44	1	3.34574e+17	35.4655	302.24	449099	6.1141e+06	1399.98	1	3	34.544	301.248	-28092.1	14900.3	96.0483	1.12712e+06	404217	84.1397	119.227	14.5534	0.00483502	1	2.64657e+17	0.000167075	0.0113497	0.000168586	1.67202e-05	2.06971e-05	0	-0.012116	0.00261036	5.9225	1	0.0149487	379.427	659.986	25.3545	1.28868e+06	169481	0.302378	1	0.582395	1	0.917476	0.0862335	16.5619	21	7.04882	0.978235	0.151608	0
