runnr	MC energy	MC zenith	MC azimuth	MC Xmax	MC core x	MC core y	MC core z	Sd rec success	Sd energy	SD zenith	SD azimuth	SD core x	SD core y	SD core z	Rd rec success	Stations with Pulse	Rd zenith	Rd azimuth	Rd core x	Rd core y	Rd core z	rad energy	rad energy error	lorentz angle	2dLDF sigma	2dLDF sigma error	2dLDF Chi2	2dLDf NDF	Rd energy	SE_RdLDF1	SE_RdLDF2	EE_RdLDF1	EE_RdLDF1error	EE_RdLDF2	EE_RdLDF2error	EE_RdLDF3	EE_RdLDF3error	OnedLDFChi2	EE_RdLDFNDF	pvalue1dLDF	GeoCe DXmax	GeoCeXmax	GeoCe DXmax Error	GeoCe Erad	GeoCe Erad Error	GeoCe LDFChi2	GeoCe LDF ndf	pvalue GeoCe	Md rec success	N_mu_ref	N_mu_ref error	MLDF Chi2	MLDF NDF	MLDF Likelihood	M beta	M beta error	M beta syst
100002	1.54961e+18	41.0088	303.544	722.108	449498	6.11396e+06	1468.23	1	1.25028e+18	40.8672	302.948	449475	6.11397e+06	1399.94	1	5	41.6363	302.984	-27735.3	14842.3	-9.31892	2.14885e+07	4.97342e+06	89.9523	120.234	5.70227	0.000268181	1	1.16711e+18	0.000432548	0.0103224	0.000425686	2.89561e-05	1.81275e-05	0	-0.00829983	0.0015792	41.5373	3	5.02984e-09	497.862	635.012	24.5373	1.33923e+07	2.22527e+06	6.82389	1	0.00899464	1	1.98335	0.124355	43.5832	47	26.6202	0.908356	0.1689	0
100006	2.55791e+17	41.8761	291.04	755.629	449957	6.11422e+06	1468.64	1	2.42775e+17	42.1629	291.575	449920	6.11426e+06	1399.98	1	4	41.9739	290.814	-27227.3	15023.6	93.5093	529618	351669	86.5328	107.82	20.1043	0.374925	2	1.80156e+17	0.000131472	0.0107501	0.000133365	9.2622e-06	1.79952e-05	0	-0.0106147	0.00250536	0.0371916	2	0.981576	483.143	664.974	47.2392	459449	69139.8	1.92221	2	0.38247	1	0.366094	0.077397	10.5699	9	8.68968	1.81674	0.726369	0
100009	1.47883e+18	48.8578	163.62	715.794	450725	6.11475e+06	1466.9	1	1.16268e+18	48.715	163.962	450805	6.11474e+06	1399.95	1	20	49.4506	163.968	-26501.7	15613	-7.25684	1.31802e+07	738978	58.1579	174.06	1.42997	57.3135	16	1.08056e+18	0.000289399	0.012011	0.000298656	5.05692e-06	1.4852e-05	0	-0.00896069	0.00010677	721.337	18	1.67736e-141	584.221	715.122	3.57862	1.63337e+07	872188	31.7763	16	0.0106918	1	1.631	0.108359	33.5948	35	20.8565	0.980961	0.137244	0
100010	7.99267e+17	47.9999	20.302	681.155	448781	6.11425e+06	1478.29	1	5.22688e+17	48.1185	19.9479	448745	6.11422e+06	1399.96	1	7	47.8577	20.4504	-28461.6	15124.1	-3.11813	4.33209e+06	1.07929e+06	51.174	171.116	13.182	2.02188	3	6.67505e+17	0.00031234	0.00578655	0.000331979	1.90705e-05	1.55548e-05	0	-0.00499289	0.000778407	21.4924	5	0.000653649	640.435	637.156	47.1215	4.26737e+06	425319	2.68511	3	0.442764	1	1.0121	0.0933782	20.6266	21	13.9757	1.07147	0.369204	0
100013	4.28135e+17	46.8181	329.764	751.712	450542	6.11543e+06	1468.17	1	3.02824e+17	47.4047	329.74	450460	6.11542e+06	1399.97	1	4	46.1116	329.496	-26445	16229	91.9969	1.83655e+06	410512	82.4074	150.244	2.99322	1.82272	2	3.39737e+17	0.000138013	0.0156829	0.000148409	1.43459e-05	1.63051e-05	0	-0.0132389	0.000661247	53.0696	2	2.99281e-12	523.216	726.026	15.3349	1.5929e+06	168677	1.83108	2	0.400301	1	0.342741	0.0572574	10.2553	16	7.23657	0.182897	0.34585	0
100038	1.06303e+18	55.3767	68.01	711.488	450626	6.11524e+06	1467.75	1	5.89573e+17	55.2015	68.5462	450608	6.11516e+06	1399.97	1	4	55.0512	68.9704	-26451.2	16236.1	92.0189	1.62472e+06	411038	15.2362	203.28	4.14736	0.696155	2	1.1592e+18	0.000455452	0.0103807	0.000526017	5.49104e-05	1.22506e-05	0	-0.00710275	0.000400926	30.4246	2	2.47384e-07	889.609	614.984	36.0942	484927	117175	13.1808	2	0.00137351	1	0.765299	0.0812307	38.1049	28	17.5918	0.42248	0.110356	0
100043	4.04584e+17	57.4623	204.837	662.715	451180	6.11441e+06	1462.78	1	3.61319e+17	58.179	205.421	451345	6.11449e+06	1399.96	1	39	58.3045	204.821	-26041.6	15298.6	-8.71969	1.82356e+06	68290.1	89.6944	235.611	1.91564	25.7261	35	3.35797e+17	0.000136177	0.00734745	0.000150603	1.72121e-06	1.06532e-05	0	-0.00321294	6.60223e-05	1696.05	37	0	926.374	663.046	8.02487	1.83316e+06	50730.9	24.4949	35	0.907781	1	0.67823	0.0944034	25.0068	16	19.6025	0.319386	0.356913	0
100044	5.76882e+17	52.0915	252.634	676.586	450053	6.11514e+06	1472.83	1	4.28169e+17	51.0217	252.335	450052	6.11511e+06	1399.96	1	8	51.855	252.27	-27178.9	15972.2	-5.06467	2.88164e+06	568880	75.4921	182.158	12.008	1.05366	4	4.37751e+17	0.000282898	0.0056644	0.000305351	1.45843e-05	1.37594e-05	0	-0.00461123	0.000521522	18.6636	6	0.00477124	690.496	700.9	35.5971	2.98559e+06	259308	0.558274	4	0.967586	1	0.786053	0.0724235	24.9713	21	12.708	1.21024	0	0
100046	6.22208e+17	43.4862	179.478	709.381	450965	6.11434e+06	1464.57	1	4.44066e+17	43.5087	180.513	450969	6.11436e+06	1399.97	1	17	44.1725	180.34	-26290.9	15203.3	-7.7227	3.15254e+06	179520	66.7171	161.131	1.64224	51.3308	13	4.85561e+17	0.000122958	0.0138399	0.000148134	2.55366e-06	1.71128e-05	0	-0.0117453	0.000113982	1258.78	15	3.84751e-259	509.221	669.042	1.93091	2.99286e+06	97070.3	51.9075	13	1.39846e-06	1	0.655098	0.0643216	40.2165	21	16.4821	1.4212	0	0
100049	2.17556e+17	45.4065	215.496	732.27	450097	6.11511e+06	1473.06	1	1.76132e+17	45.4383	215.944	450165	6.11518e+06	1399.98	1	3	45.492	216.388	-27210.9	15907.7	95.7752	418468	206152	87.078	131.869	22.8695	1.99868	1	1.59962e+17	0.000113058	0.00739314	0.000115232	9.61344e-06	1.65661e-05	0	-0.00773012	0.00221555	1.66618	1	0.196771	457.294	760.354	12.4369	456939	68799	2.11125	1	0.146219	1	0.399345	0.0703205	11.4255	12	7.23105	1.34121	0.560306	0
